01/06/21;13:23:13;39589;Dinheiro;4,0
01/06/21;14:04:03;39591;Dinheiro;13,04
01/06/21;14:16:17;39592;Dinheiro;41,85
01/06/21;14:37:25;39595;Dinheiro;11,0
01/06/21;14:41:45;39596;Dinheiro;21,0
01/06/21;14:42:36;39597;Dinheiro;50,0
01/06/21;16:19:23;39607;Dinheiro;46,0
01/06/21;16:24:15;39608;Dinheiro;35,4
01/06/21;16:27:11;39610;Dinheiro;3,0
01/06/21;16:41:23;39613;Crediário;109,57
01/06/21;16:43:07;39614;Dinheiro;9,84
01/06/21;16:48:28;39615;Dinheiro;9,36
01/06/21;17:09:14;39617;Dinheiro;41,65
01/06/21;17:10:45;39619;Dinheiro;24,81
01/06/21;17:11:29;39620;Crediário;18,52
01/06/21;17:21:33;39624;Dinheiro;16,33
01/06/21;17:29:11;39627;Dinheiro;14,98
01/06/21;17:53:15;39630;Dinheiro;56,52
01/06/21;18:00:35;39631;Dinheiro;4,34
01/06/21;18:02:06;39633;Dinheiro;4,4
01/06/21;18:09:18;39636;Dinheiro;14,62
01/06/21;18:10:38;39638;Dinheiro;7,66
01/06/21;18:16:52;39642;Dinheiro;33,14
01/06/21;18:27:25;39646;Dinheiro;15,2
01/06/21;18:31:15;39648;Dinheiro;25,0
01/06/21;18:35:30;39652;Dinheiro;37,04
01/06/21;18:37:26;39655;Dinheiro;45,9
01/06/21;18:51:05;39657;Dinheiro;24,0
01/06/21;18:55:16;39658;Dinheiro;8,53
01/06/21;19:19:19;39663;Dinheiro;5,53
01/06/21;19:27:46;39665;Dinheiro;19,0
01/06/21;19:28:22;39666;Dinheiro;21,5
01/06/21;19:45:01;39671;Dinheiro;20,14
01/06/21;19:55:54;39672;Dinheiro;48,11
01/06/21;20:08:29;39674;Crediário;44,44
01/06/21;20:20:28;39675;Crediário;32,28
01/06/21;20:25:21;39676;Crediário;49,38
01/06/21;20:29:33;39678;Crediário;17,64
02/06/21;07:19:06;1/00018358;Cartao  Débito;28,73
02/06/21;07:27:00;1/00018359;Cartao  Débito;17,94
02/06/21;07:35:31;1/00018360;Cartao  Débito;27,3
02/06/21;07:37:25;1/00018361;PIX;31,16
02/06/21;07:58:02;1/00018362;Cartao Crédito;20,8
02/06/21;08:22:53;1/00018363;Cartao Crédito;23,79
02/06/21;08:32:43;1/00018364;Cartao  Débito;14,1
02/06/21;08:40:04;1/00018365;Cartao  Débito;13,0
02/06/21;08:54:03;1/00018366;Cartao Crédito;28,99
02/06/21;08:54:37;1/00018367;Cartao Crédito;7,0
02/06/21;08:59:29;1/00018368;Cartao  Débito;15,29
02/06/21;09:09:13;1/00018369;Cartao  Débito;17,06
02/06/21;09:14:04;1/00018370;PIX;51,74
02/06/21;09:28:26;1/00018371;Cartao Crédito;27,49
02/06/21;09:37:17;1/00018372;Cartao Crédito;7,0
02/06/21;09:56:04;1/00018373;Cartao  Débito;28,32
02/06/21;09:57:13;1/00018374;Cartao Crédito;23,5
02/06/21;10:17:05;1/00018375;Cartao  Débito;2,5
02/06/21;10:25:26;1/00018376;Cartao  Débito;13,0
02/06/21;10:26:14;1/00018377;Cartao  Débito;40,59
02/06/21;10:41:36;1/00018378;Cartao Crédito;28,44
02/06/21;10:47:39;1/00018379;Cartao  Débito;19,34
02/06/21;10:58:35;1/00018380;Cartao  Débito;16,57
02/06/21;10:59:40;1/00018381;Cartao  Débito;16,0
02/06/21;11:04:34;1/00018382;Cartao Crédito;12,0
02/06/21;11:36:00;1/00018383;Cartao Crédito;13,16
02/06/21;11:38:08;1/00018384;Cartao  Débito;12,8
02/06/21;11:39:00;1/00018385;Cartao  Débito;43,42
02/06/21;11:43:45;1/00018386;Dinheiro;9,49
02/06/21;12:00:04;1/00018387;Cartao  Débito;16,9
02/06/21;12:53:57;1/00018388;Cartao Crédito;109,14
02/06/21;13:17:18;1/00018389;Cartao Crédito;33,4
02/06/21;14:02:52;1/00018390;Cartao  Débito;10,0
02/06/21;14:08:10;1/00018391;Cartao  Débito;38,15
02/06/21;14:25:08;1/00018392;Cartao  Débito;27,13
02/06/21;14:46:40;1/00018393;Cartao  Débito;9,61
02/06/21;15:07:52;1/00018394;PIX;34,48
02/06/21;15:36:46;1/00018395;Cartao Crédito;23,34
02/06/21;15:41:18;1/00018396;Cartao Crédito;18,0
02/06/21;15:42:48;1/00018397;Cartao  Débito;13,0
02/06/21;16:01:54;1/00018398;Cartao  Débito;35,54
02/06/21;16:17:23;1/00018399;Cartao Crédito;23,59
02/06/21;16:30:59;1/00018400;Cartao Crédito;4,28
02/06/21;16:37:16;1/00018401;Cartao Crédito;8,5
02/06/21;16:43:46;1/00018402;Cartao  Débito;23,81
