1014;TORTA DE MORTADELA;KG;01/06/21;11:23:34;1/00018310;0,45;        48,0;0,0;        0,0;21,6
2006;SUPER BROWNIES (DIVERSOS);UN;01/06/21;11:23:34;1/00018310;1,0;        7,0;0,0;        0,0;7,0
1020;PASTEL FRITO;UN;01/06/21;11:54:37;1/00018311;1,0;        6,0;0,0;        0,0;6,0
1011;PASTEL DE NATA;UN;01/06/21;11:54:37;1/00018311;1,0;        8,5;0,0;        0,0;8,5
1309;COCA COLA LT 350ML;UN;01/06/21;11:54:37;1/00018311;1,0;        5,0;0,0;        0,0;5,0
1309;COCA COLA LT 350ML;UN;01/06/21;11:54:37;1/00018311;1,0;        5,0;0,0;        0,0;5,0
1033;PAO DE QUEIJO;KG;01/06/21;12:25:27;1/00018312;0,155;        39,9;0,0;        0,0;6,18
1282;ACHOC TODDYNHO 200ML;UN;01/06/21;12:25:27;1/00018312;1,0;        4,0;0,0;        0,0;4,0
1282;ACHOC TODDYNHO 200ML;UN;01/06/21;12:25:27;1/00018312;1,0;        4,0;0,0;        0,0;4,0
1144;CAFE EXPRESSO SIMPLES;UN;01/06/21;12:42:33;1/00018313;1,0;        5,0;0,0;        0,0;5,0
1626;PASTEL DE BELEN UND;UN;01/06/21;12:42:33;1/00018313;1,0;        7,0;0,0;        0,0;7,0
2247;MINI PAO DE MEL UND;UN;01/06/21;12:42:33;1/00018313;3,0;        2,5;0,0;        0,0;7,5
1001;BRIOCHE;KG;01/06/21;12:42:33;1/00018313;0,061;        58,9;0,0;        0,0;3,57
1033;PAO DE QUEIJO;KG;01/06/21;12:42:33;1/00018313;0,04;        39,9;0,0;        0,0;1,6
1401;BOLO DE CENOURA;KG;01/06/21;12:42:33;1/00018313;0,49;        29,9;0,0;        0,0;14,65
1144;CAFE EXPRESSO SIMPLES;UN;01/06/21;13:04:23;1/00018314;2,0;        5,0;0,0;        0,0;10,0
1101;TRUFAS RECHEADAS;KG;01/06/21;13:04:23;1/00018314;0,025;        98,0;0,0;        0,0;2,45
1626;PASTEL DE BELEN UND;UN;01/06/21;13:04:23;1/00018314;1,0;        7,0;0,0;        0,0;7,0
1134;BOLO DE QUATRO LEITES;KG;01/06/21;13:18:32;1/00018315;1,175;        52,0;0,0;        0,0;61,1
1144;CAFE EXPRESSO SIMPLES;UN;01/06/21;13:21:24;1/00018316;1,0;        5,0;0,0;        0,0;5,0
1000;MERCADORIAS DIVERAS;DV;01/06/21;13:21:24;1/00018316;1,0;        8,0;0,0;        0,0;8,0
1006;MINI FOLHEADOS;KG;01/06/21;13:52:40;1/00018317;0,09;        52,9;0,0;        0,0;4,76
1149;CAPUCCINO SABOR E CIA;UN;01/06/21;13:52:40;1/00018317;1,0;        13,0;0,0;        0,0;13,0
1097;MINI PUDIM;UN;01/06/21;13:52:40;1/00018317;1,0;        8,0;0,0;        0,0;8,0
1042;PAO FRANCES;KG;01/06/21;14:35:12;1/00018318;0,37;        11,9;0,0;        0,0;4,4
1006;MINI FOLHEADOS;KG;01/06/21;14:35:12;1/00018318;0,17;        52,9;0,0;        0,0;8,99
1042;PAO FRANCES;KG;01/06/21;14:35:12;1/00018318;0,305;        11,9;0,0;        0,0;3,63
1006;MINI FOLHEADOS;KG;01/06/21;14:35:12;1/00018318;0,155;        52,9;0,0;        0,0;8,2
1006;MINI FOLHEADOS;KG;01/06/21;14:35:12;1/00018318;0,125;        52,9;0,0;        0,0;6,61
1904;DIPLOKO POP HITS ALGODAO DOCE 7G;UN;01/06/21;15:14:41;1/00018319;1,0;        3,0;0,0;        0,0;3,0
1147;CAFE EXPRESSO COM LEITE MEDIO;UN;01/06/21;15:14:41;1/00018319;1,0;        6,5;0,0;        0,0;6,5
1001;BRIOCHE;KG;01/06/21;15:14:41;1/00018319;0,074;        58,9;0,0;        0,0;4,39
1006;MINI FOLHEADOS;KG;01/06/21;15:14:41;1/00018319;0,035;        52,9;0,0;        0,0;1,85
1585;TIC TAC LARANJA 16G;UN;01/06/21;15:16:40;1/00018320;1,0;        2,85;0,0;        0,0;2,85
2247;MINI PAO DE MEL UND;UN;01/06/21;15:16:40;1/00018320;3,0;        2,5;0,0;        0,0;7,5
1060;DONUTS;KG;01/06/21;15:16:40;1/00018320;0,145;        46,9;0,0;        0,0;6,8
1000;MERCADORIAS DIVERAS;DV;01/06/21;15:16:40;1/00018320;1,0;        10,0;0,0;        0,0;10,0
1635;BROWNIE C/ NOZES;KG;01/06/21;15:16:40;1/00018320;0,07;        68,9;0,0;        0,0;4,82
1081;SUSPIRO;KG;01/06/21;15:16:40;1/00018320;0,045;        99,9;0,0;        0,0;4,5
1149;CAPUCCINO SABOR E CIA;UN;01/06/21;15:19:55;1/00018321;1,0;        13,0;0,0;        0,0;13,0
1149;CAPUCCINO SABOR E CIA;UN;01/06/21;15:25:00;1/00018322;1,0;        13,0;0,0;        0,0;13,0
1144;CAFE EXPRESSO SIMPLES;UN;01/06/21;15:25:00;1/00018322;1,0;        5,0;0,0;        0,0;5,0
1060;DONUTS;KG;01/06/21;15:25:00;1/00018322;0,135;        46,9;0,0;        0,0;6,33
1920;FINI TUBES ACIDO TUTTI-FRUTTI 17G;UN;01/06/21;15:25:00;1/00018322;1,0;        1,5;0,0;        0,0;1,5
1308;COCA COLA SEM ACUCAR LT 350ML;UN;01/06/21;15:26:19;1/00018323;1,0;        5,0;0,0;        0,0;5,0
1623;TORTA DE FRANGO;KG;01/06/21;15:26:19;1/00018323;0,215;        48,0;0,0;        0,0;10,32
1031;ENROLADINHO DE SALSICHA FRITO;UN;01/06/21;15:27:15;1/00018324;1,0;        5,5;0,0;        0,0;5,5
1435;MIL FOLHAS;KG;01/06/21;15:27:15;1/00018324;0,085;        42,9;0,0;        0,0;3,65
1313;COCA COLA PET 2L;UN;01/06/21;15:27:15;1/00018324;1,0;        10,0;0,0;        0,0;10,0
1042;PAO FRANCES;KG;01/06/21;15:39:08;1/00018325;0,235;        11,9;0,0;        0,0;2,8
1089;PAO INTEGRAL;KG;01/06/21;15:50:52;1/00018326;0,39;        19,9;0,0;        0,0;7,76
1042;PAO FRANCES;KG;01/06/21;15:50:52;1/00018326;0,12;        11,9;0,0;        0,0;1,43
1033;PAO DE QUEIJO;KG;01/06/21;16:06:11;1/00018327;0,07;        39,9;0,0;        0,0;2,79
1020;PASTEL FRITO;UN;01/06/21;16:06:11;1/00018327;3,0;        6,0;0,0;        0,0;18,0
1713;COFFEE SHAKE;UN;01/06/21;16:06:11;1/00018327;2,0;        14,0;0,0;        0,0;28,0
1411;EXPRESSO ESPECIAL;UN;01/06/21;16:25:35;1/00018328;1,0;        7,0;0,0;        0,0;7,0
1001;BRIOCHE;KG;01/06/21;16:25:35;1/00018328;0,112;        58,9;0,0;        0,0;6,59
1092;PETIT FOUR DIVERSOS;KG;01/06/21;16:25:35;1/00018328;0,16;        56,9;0,0;        0,0;9,1
1065;MORANGOFF;KG;01/06/21;16:38:13;1/00018329;0,455;        62,0;0,0;        0,0;28,21
1012;SALGADO ASSADO;UN;01/06/21;16:38:13;1/00018329;2,0;        9,0;0,0;        0,0;18,0
1020;PASTEL FRITO;UN;01/06/21;16:38:13;1/00018329;1,0;        6,0;0,0;        0,0;6,0
1021;COXINHA;UN;01/06/21;16:38:13;1/00018329;1,0;        6,0;0,0;        0,0;6,0
1449;SUCO PRATS LARANJA 900ML;UN;01/06/21;17:00:42;1/00018330;2,0;        11,0;0,0;        0,0;22,0
1603;CAFE;UN;01/06/21;17:00:42;1/00018330;2,0;        11,5;0,0;        0,0;23,0
1583;BOLO DE LARANJA;KG;01/06/21;17:00:42;1/00018330;1,0;        32,0;0,0;        0,0;32,0
1537;MINI BARQUINHAS P/ FESTA;UN;01/06/21;17:00:42;1/00018330;25,0;        1,0;0,0;        0,0;25,0
1983;TAXA DE ENTREGA;UN;01/06/21;17:00:42;1/00018330;1,0;        12,0;0,0;        0,0;12,0
1536;MINI SANDUICHE FRANGO OU ATUM  P/ FESTA;UN;01/06/21;17:00:42;1/00018330;25,0;        1,0;0,0;        0,0;25,0
2086;MINI PASTEL P/FESTA;UN;01/06/21;17:00:42;1/00018330;25,0;        0,5;0,0;        0,0;12,5
1470;MINI SALGADINHOS P/  FESTA;UN;01/06/21;17:00:42;1/00018330;25,0;        0,46;0,0;        0,0;11,5
1604;LEITE;UN;01/06/21;17:00:42;1/00018330;2,0;        8,5;0,0;        0,0;17,0
1036;QUICHE;KG;01/06/21;17:10:16;1/00018331;0,165;        58,0;0,0;        0,0;9,57
1307;COCA COLA LT 220ML;UN;01/06/21;17:10:16;1/00018331;1,0;        3,0;0,0;        0,0;3,0
1065;MORANGOFF;KG;01/06/21;17:10:16;1/00018331;0,15;        62,0;0,0;        0,0;9,3
1092;PETIT FOUR DIVERSOS;KG;01/06/21;17:19:22;1/00018332;0,15;        56,9;0,0;        0,0;8,54
1866;KINDER JOY 20G;UN;01/06/21;17:19:22;1/00018332;1,0;        9,9;0,0;        0,0;9,9
1149;CAPUCCINO SABOR E CIA;UN;01/06/21;17:19:22;1/00018332;1,0;        13,0;0,0;        0,0;13,0
1040;MISTO QUENTE;UN;01/06/21;17:19:22;1/00018332;3,0;        6,0;0,0;        0,0;18,0
1000;MERCADORIAS DIVERAS;DV;01/06/21;17:19:22;1/00018332;1,0;        3,15;0,0;        0,0;3,15
1020;PASTEL FRITO;UN;01/06/21;17:24:46;1/00018333;1,0;        6,0;0,0;        0,0;6,0
1874;BOLO DE CENOURA RECHEADO;KG;01/06/21;17:24:46;1/00018333;0,19;        42,9;0,0;        0,0;8,15
1065;MORANGOFF;KG;01/06/21;17:27:34;1/00018334;0,16;        62,0;0,0;        0,0;9,92
1042;PAO FRANCES;KG;01/06/21;17:27:34;1/00018334;0,3;        11,9;0,0;        0,0;3,57
1101;TRUFAS RECHEADAS;KG;01/06/21;17:27:34;1/00018334;0,115;        98,0;0,0;        0,0;11,27
1042;PAO FRANCES;KG;01/06/21;17:33:14;1/00018335;0,41;        11,9;0,0;        0,0;4,88
1048;SOPA PARAGUAIA;KG;01/06/21;17:33:14;1/00018335;0,27;        48,0;0,0;        0,0;12,96
1002;EMPADAS DIVERSAS;UN;01/06/21;17:33:14;1/00018335;2,0;        6,0;0,0;        0,0;12,0
1047;CHIPA;KG;01/06/21;17:33:14;1/00018335;0,305;        49,9;0,0;        0,0;15,22
1583;BOLO DE LARANJA;KG;01/06/21;17:33:14;1/00018335;0,425;        32,0;0,0;        0,0;13,6
1101;TRUFAS RECHEADAS;KG;01/06/21;17:40:47;1/00018336;0,08;        98,0;0,0;        0,0;7,84
1002;EMPADAS DIVERSAS;UN;01/06/21;17:40:47;1/00018336;3,0;        6,0;0,0;        0,0;18,0
1385;BOMBOM;UN;01/06/21;17:40:47;1/00018336;1,0;        6,0;0,0;        0,0;6,0
1435;MIL FOLHAS;KG;01/06/21;17:40:47;1/00018336;0,265;        42,9;0,0;        0,0;11,37
1036;QUICHE;KG;01/06/21;17:40:47;1/00018336;0,175;        58,0;0,0;        0,0;10,15
1020;PASTEL FRITO;UN;01/06/21;17:40:47;1/00018336;1,0;        6,0;0,0;        0,0;6,0
1478;CAFE SUBMARINO;UN;01/06/21;17:40:47;1/00018336;1,0;        13,0;0,0;        0,0;13,0
1149;CAPUCCINO SABOR E CIA;UN;01/06/21;17:40:47;1/00018336;1,0;        13,0;0,0;        0,0;13,0
1042;PAO FRANCES;KG;01/06/21;18:00:57;1/00018337;0,605;        11,9;0,0;        0,0;7,2
1611;SALAME DE PERNIL;KG;01/06/21;18:00:57;1/00018337;0,29;        34,9;0,0;        0,0;10,12
2028;GOMETES FRUTAS;UN;01/06/21;18:07:29;1/00018338;1,0;        1,5;0,0;        0,0;1,5
1147;CAFE EXPRESSO COM LEITE MEDIO;UN;01/06/21;18:07:29;1/00018338;1,0;        6,5;0,0;        0,0;6,5
1809;PAO COM SALAME;UN;01/06/21;18:07:29;1/00018338;1,0;        8,0;0,0;        0,0;8,0
1001;BRIOCHE;KG;01/06/21;18:10:52;1/00018339;0,107;        58,9;0,0;        0,0;6,31
1713;COFFEE SHAKE;UN;01/06/21;18:10:52;1/00018339;2,0;        14,0;0,0;        0,0;28,0
1011;PASTEL DE NATA;UN;01/06/21;18:10:52;1/00018339;1,0;        8,5;0,0;        0,0;8,5
1935;AGUA DE COCO - AUTENTICOCO;UN;01/06/21;18:10:52;1/00018339;1,0;        9,0;0,0;        0,0;9,0
1000;MERCADORIAS DIVERAS;DV;01/06/21;18:13:29;1/00018340;1,0;        37,64;0,0;        0,0;37,64
2163;TORTA DE IOGURTE;KG;01/06/21;18:16:17;1/00018341;0,18;        68,0;0,0;        0,0;12,24
1012;SALGADO ASSADO;UN;01/06/21;18:16:17;1/00018341;2,0;        9,0;0,0;        0,0;18,0
